Gene,Metabolite,a (g→m),b (m→e|g),c_total (g→e),c_direct,prop_mediated,sobel_z,sobel_p,FDR
Zm00001d026194,C_32821_224.0279mz_5.10min_106276_,-0.3954759575123577,0.4133934259794404,0.05951267500889255,0.22299983597742587,-2.747098176045769,-1.3200505246821308,0.2017281334006229,0.28412413155017313
Zm00001d009118,C_6133_188.5535mz_11.21min_96224_,-0.4570466114124724,0.2968533866360848,-0.12140047101272214,0.01427536343561651,1.1175890284158825,-1.3005424669103376,0.20820217804791286,0.2891696917332123
Zm00001d012313,C_34974_183.0416mz_5.73min_84213_,-0.23182467831619719,0.49941473805968034,-0.05135212495617003,0.06442453604088347,2.2545641703409736,-1.2739937484529997,0.21727175382401565,0.2938044912435347
Zm00001d012313,C_32393_413.0742mz_4.93min_88851_,-0.24967455387396517,0.5256286990639268,-0.05135212495617003,0.07988398598596803,2.555612081372493,-1.26805045776367,0.21934342632168113,0.2938044912435347
Zm00001d017720,C_34974_183.0416mz_5.73min_84213_,0.7515843088466055,0.3053711774170482,0.5299799236773146,0.3004677383566465,0.4330582632794402,1.2583443760456132,0.22275947467859525,0.2938044912435347
Zm00001d008951,C_6133_188.5535mz_11.21min_96224_,-0.4627918339966866,0.29502131013216965,-0.13213125279337307,0.004402200390798772,1.0333168746812909,-1.251770146102786,0.2250964541036553,0.2938044912435347
Zm00001d002848,C_1345_225.1210mz_1.83min_20407_,-0.7211996657216668,-0.20023255787291253,-0.03931729843038424,-0.18372495223492244,-3.672878340311921,1.2486017330921013,0.22622945825752172,0.2938044912435347
Zm00001d013003,C_43504_312.1740mz_7.74min_95597_,0.16857176759491915,-0.5091958258570277,-0.14857817026055517,-0.06274212984388126,0.577716364834396,-1.2304612887343114,0.23280080623766675,0.2984625720995728
Zm00001d013003,C_6133_188.5535mz_11.21min_96224_,-0.44073368821209796,0.26645137825004606,-0.14857817026055517,-0.031144071595214616,0.7903859527910554,-1.2037565271729538,0.24273831034558357,0.30726368398175136
Zm00001d014401,C_43504_312.1740mz_7.74min_95597_,0.18932880834560054,-0.6131032813618169,0.06402943278103362,0.18010754643404472,-1.8128868023862144,-1.187201082547821,0.2490582939019388,0.3113228673774235
Zm00001d035367,C_957_115.0039mz_1.71min_9228_,-0.44823769460061597,0.25957327976139094,-0.3129851552839256,-0.19663462678375948,0.37174455892203045,-1.1790421233395245,0.2522181470908522,0.31138042850722497
Zm00001d002848,C_32393_413.0742mz_4.93min_88851_,0.2651447024548313,0.542686644535554,-0.03931729843038424,-0.18320778732197415,-3.659724717514974,1.12556081783485,0.27367762988897715,0.33375320718167945
