Gene,log2FC_metabR_v_metabS,t,p,FDR
Zm00001d042470,-0.9707903220091385,-4.050251216464104,0.00016545132801687823,0.021111839221919438
Zm00001d042035,1.6670215212366584,4.085171002927168,0.00016721225446425018,0.021111839221919438
Zm00001d005489,1.6663364566806163,4.0535547460137105,0.00016725629463232717,0.021111839221919438
Zm00001d009182,0.9823594606105885,4.207975490606013,0.0001678335045243524,0.021111839221919438
Zm00001d000195,-1.1143117754764673,-4.051340834895464,0.00016866852246199608,0.021111839221919438
Zm00001d014773,-0.5544941571188433,-4.053865852670151,0.00017671223884006595,0.021991533447372345
Zm00001d031601,0.8469277399189902,4.147728440577327,0.00017903196256352898,0.022152903527718038
Zm00001d039417,1.487196136679912,4.097943672920736,0.00018270034812501327,0.02247837124033544
Zm00001d053939,-0.5195199734735704,-4.301931593919339,0.0001850769042286315,0.022642120249529867
Zm00001d009858,-0.7695469531013055,-4.007067714874523,0.0001867382223899161,0.0227170194810744
Zm00001d039926,-0.7181719435369573,-4.045796897662942,0.00018975611677472082,0.02295518967955198
Zm00001d003252,-1.0021889639313248,-4.001382769277153,0.0001910621911701133,0.02298478159776463
Zm00001d048102,-0.32536038167263914,-4.039428182155772,0.00019357298924630985,0.02300776606858416
Zm00001d035652,-0.5510897783936579,-4.093739558396328,0.00019461916628848332,0.02300776606858416
Zm00001d013193,-0.5171852712287848,-3.9888329669526317,0.0001949354744154827,0.02300776606858416
Zm00001d044147,-1.2952050144843588,-3.9929032854030515,0.00019550332301743263,0.02300776606858416
Zm00001d034404,-0.4387957771530093,-3.996159834028072,0.00020236501116404097,0.023686551090519696
Zm00001d047462,1.1580591497220967,4.023987925583824,0.00020817848115583555,0.024236004467464854
Zm00001d001497,-0.8490014971835306,-4.075431944795562,0.00021280365880365132,0.024437085933324307
Zm00001d031244,1.3589032421741807,4.0242749656124674,0.00021338319048396496,0.024437085933324307
Zm00001d037675,-1.1251310665534575,-3.961797948087382,0.00021377522201691292,0.024437085933324307
Zm00001d013276,-1.0374826101437413,-3.9592731556668754,0.00021446607053652878,0.024437085933324307
Zm00001d044443,-0.9443552366256749,-3.99580679865161,0.0002155483242479423,0.024437085933324307
Zm00001d017101,1.5156781457798436,4.087111798408446,0.00022139699939375211,0.024915846907445336
Zm00001d003841,1.2849639956577092,3.9476979799611946,0.00022305572344697016,0.024915846907445336
Zm00001d022243,0.5135739400301294,3.947058376176551,0.0002237521289435305,0.024915846907445336
Zm00001d036025,1.2478055595448712,4.023829719292721,0.00022476826106883392,0.024915846907445336
Zm00001d029554,-1.1991995516382552,-4.107898546129658,0.00022594586140366535,0.024915846907445336
Zm00001d045370,0.7444114622076801,3.945904916422126,0.00022667506422678174,0.024915846907445336
Zm00001d053997,-1.0339049242606317,-3.9404319517177426,0.00022846019449135964,0.024985237633918696
Zm00001d030121,-0.3688756673394508,-4.168717413755836,0.00023959628309063905,0.025896351058673862
Zm00001d041455,-0.7080293055539668,-3.9384395238052843,0.0002404489470838627,0.025896351058673862
Zm00001d001864,-0.9983986491951149,-3.9257501311338294,0.0002414470252402707,0.025896351058673862
Zm00001d037233,-0.9246858805248457,-3.978100818583859,0.0002415749013508876,0.025896351058673862
Zm00001d043309,-0.6043474156581192,-3.9453537142330637,0.0002472609479023982,0.026375313132406555
Zm00001d007014,-0.6669762756578962,-4.1598394604309155,0.0002495445104048434,0.026488415825031763
Zm00001d051047,1.004043130907485,3.9157054918899195,0.00025309068776656536,0.0267172263587238
Zm00001d052619,-0.8172166511707666,-3.9887904711331945,0.0002541677579152629,0.0267172263587238
Zm00001d043853,1.7305649031772736,3.910805163792617,0.00025885724365602925,0.02707871861897419
Zm00001d017863,1.821262479140437,3.9540220472820566,0.0002617229080396048,0.027246864666776935
Zm00001d044497,-1.1151598442601092,-3.9106090144352113,0.00026769760072174243,0.027505954313247073
Zm00001d018870,-1.011492083404785,-3.992850818308646,0.00026886160327042023,0.027505954313247073
Zm00001d002572,-0.911210129018057,-3.913426298017753,0.00026962510673734385,0.027505954313247073
Zm00001d015886,-0.25444213919593395,-3.8879803062800553,0.0002704345946309571,0.027505954313247073
Zm00001d008604,-0.7224772255165455,-3.8884704807768182,0.0002705628645387285,0.027505954313247073
