Gene,log2FC_RvS,t,p_welch,FDR_welch,p_wilcoxon,FDR_wilcoxon
Zm00001d025236,0.09481323983628887,0.4452546058209791,0.6574565537413879,0.8497194870559786,0.38875093073665634,0.6766891201102537
Zm00001d005912,-0.1282385597198532,-0.44499977564896953,0.6574783329917413,0.8497194870559786,0.9859663450554824,0.9923824131185004
Zm00001d046947,-0.08378238304632957,-0.4448545023072963,0.657666302692264,0.8497194870559786,0.6069077451915829,0.8192911652901481
Zm00001d009264,-0.08086220517594689,-0.4447493127497912,0.657698764061273,0.8497194870559786,0.5439589341698693,0.780679133119986
Zm00001d041401,-0.08803743202483605,-0.4447495018442347,0.6577136783760961,0.8497194870559786,0.9859663450554824,0.9923824131185004
Zm00001d049625,-0.10969889019839085,-0.44480046923460465,0.65772463874079,0.8497194870559786,0.7515389916271291,0.8919608289774653
Zm00001d046538,-0.10187606371250446,-0.4451642014054253,0.6577607787569978,0.8497194870559786,0.6038375838256795,0.8164022877223567
Zm00001d052295,-0.09179905250723275,-0.4445709184651826,0.6578211932456588,0.8497194870559786,0.8672912806847872,0.9448744914443743
Zm00001d024454,-0.04932054716657086,-0.4445084370145827,0.6578356091910815,0.8497194870559786,0.7249959821488824,0.877680046819025
Zm00001d009211,-0.08109557575384674,-0.44468752363684255,0.6578820630560035,0.8497194870559786,0.9789508742836459,0.9899225848388002
Zm00001d022103,-0.08055686819198549,-0.4445891577838967,0.6579084218775515,0.8497194870559786,0.561609167314396,0.7909648721317678
Zm00001d014325,-0.11392916882272885,-0.44441033211732706,0.6579169703320698,0.8497194870559786,0.36968490584440705,0.6607095535783089
Zm00001d038595,0.10619053842216575,0.4444324124912991,0.6579289322844342,0.8497194870559786,0.4927194655350008,0.7475196039161288
Zm00001d024160,0.1823644594273599,0.4444429128275748,0.6579707518454805,0.8497194870559786,0.4034359417644492,0.6873329569604549
Zm00001d011401,-0.11978035815600574,-0.44430712471659384,0.6579856642477058,0.8497194870559786,0.8465796722593553,0.9351069283362619
Zm00001d023923,-0.05107142111756269,-0.44422550854113796,0.6580516612413478,0.8497194870559786,0.7851322524744835,0.9084778131389584
Zm00001d049627,-0.0918765717549812,-0.4451871576025899,0.6580687329534136,0.8497194870559786,0.7448742128525816,0.8880419647145186
Zm00001d002737,0.09632374652715825,0.44419110132947454,0.6580799978540893,0.8497194870559786,0.4547297526262566,0.7230132949092415
Zm00001d023606,0.0771809256162217,0.44420877892659094,0.6581253825597955,0.8497194870559786,0.5586483257452359,0.7909618703862521
Zm00001d013658,0.07065829885758435,0.44418339470509305,0.6581460809505344,0.8497194870559786,0.18417608347783876,0.4750624075794068
Zm00001d015362,0.054282082769988915,0.44422660067605346,0.6581940581115244,0.8497307657751714,0.5645775759761705,0.7943705542682259
Zm00001d022582,0.08588900393912136,0.4439055982845942,0.6582723658625561,0.8497811977100148,0.6729172550709903,0.850832082290507
Zm00001d023559,-0.13516975559902566,-0.4438349856215067,0.6583394568896441,0.8498171445298572,0.4927194655350008,0.7475196039161288
Zm00001d020450,-0.09537746674344216,-0.4440407129637552,0.6584389878183529,0.8498949595981529,0.9579163954935324,0.9817645602052701
Zm00001d039041,0.05873261944272645,0.44363333639792196,0.6584851348478045,0.8499038630264265,0.5855650570825668,0.8057845542746506
Zm00001d040317,0.07576661052463685,0.4438836984133206,0.658575670930813,0.8499700547345229,0.1371967486797021,0.41399921905104087
Zm00001d020485,-0.04763938985669558,-0.44338786564341487,0.6586579768098398,0.8499923799063983,0.28328969569793416,0.5845583257712089
Zm00001d004821,0.1185518527313496,0.4433457752274349,0.6586714757009958,0.8499923799063983,0.5151685316775404,0.7621931801684517
Zm00001d047687,0.10211705514712577,0.4432265565628676,0.6587695841622012,0.8500683258118292,0.3985044203150174,0.6838813375734178
Zm00001d018727,-0.12583829358145904,-0.44301245936217415,0.6589102584056594,0.8501991857654718,0.6038375838256795,0.8164022877223567
Zm00001d010510,-0.07659810920060528,-0.4429030913429457,0.6590059116285254,0.8502719424658338,0.9439087669474314,0.9785235752336117
Zm00001d004857,-0.07943773696948764,-0.44302667939879986,0.6590716897508845,0.850305291597399,0.573527820512274,0.7979421373279866
Zm00001d048411,0.16656853850646947,0.44295594674626554,0.6591407144844452,0.850305291597399,0.561609167314396,0.7909648721317678
Zm00001d024900,0.11070768159515398,0.44310389989544746,0.6591610675462214,0.850305291597399,0.34668566642172116,0.6401578767541528
Zm00001d021404,-0.06561732011012555,-0.4432908869553517,0.6591888302413197,0.850305291597399,0.929918462512644,0.9730576199501687
Zm00001d030340,0.10703325275223508,0.4425521085386511,0.6593053989657918,0.8504049981656693,0.5066883509823487,0.7586661286247944
Zm00001d018362,0.08852955566519871,0.4423198768340143,0.6594971179582125,0.850555280539205,0.7986863861095665,0.9145824962885539
Zm00001d038226,-0.15241667968330308,-0.4423150632330416,0.6595004692090723,0.850555280539205,0.9579163954935324,0.9817645602052701
Zm00001d052766,0.03733321094176478,0.442334434529241,0.65955445543982,0.8505695631312604,0.5498115798052619,0.7835737757735383
Zm00001d052237,-0.11172140054826496,-0.4420877711145821,0.6595901036344382,0.8505695631312604,0.9439087669474314,0.9785235752336117
Zm00001d031728,-0.07258822201487808,-0.44208445579940925,0.6597331292989617,0.8506589271895386,0.06349766028846605,0.2821047057625039
ENSRNA049472552,0.06573222008886148,0.4417713223416537,0.6598104754584438,0.8506589271895386,0.6348467770793798,0.832141168939279
Zm00001d014797,0.07744529302043013,0.44267160801480676,0.6598186840659198,0.8506589271895386,0.10945598063530443,0.37010615313505346
Zm00001d010341,-0.05076610792947456,-0.44195794134980715,0.6598422319888918,0.8506589271895386,0.7249959821488824,0.877680046819025
Zm00001d029611,0.08949574580595021,0.4418833237662666,0.6598888460769303,0.8506589271895386,0.805486551815709,0.9178553803619094
Zm00001d012643,0.09530953182032076,0.44166297583427827,0.6599638635566575,0.8506589271895386,0.34668566642172116,0.6401578767541528
Zm00001d005013,0.051807957179384245,0.44156140351394646,0.6600028932256703,0.8506589271895386,0.6633158316290351,0.8477305874122394
Zm00001d010047,0.10704253906760286,0.4415757156010758,0.660037249303232,0.8506589271895386,0.4547297526262566,0.7230132949092415
Zm00001d042921,-0.09381929008239664,-0.44142292825126966,0.6600578177807697,0.8506589271895386,0.975443715396938,0.9899225848388002
Zm00001d022505,0.048635347040986154,0.44142214210760694,0.6601115256662424,0.8506589271895386,0.6161597763542409,0.8232445114564529
Zm00001d053727,0.06719374836750819,0.44137363982561856,0.6601637596179611,0.8506589271895386,0.9579163954935324,0.9817645602052701
Zm00001d007788,-0.06632752097789596,-0.4412806716606523,0.6601753211129813,0.8506589271895386,0.7249959821488824,0.877680046819025
ENSRNA049457749,0.09984991150402256,0.44124451444093105,0.6601988115435018,0.8506589271895386,0.7448742128525816,0.8880419647145186
Zm00001d045685,0.1274270790169818,0.44125525303811813,0.6602093807309221,0.8506589271895386,0.561609167314396,0.7909648721317678
Zm00001d042553,-0.10198841536849557,-0.44113761281974273,0.6602687344656674,0.8506847846801666,0.8123014607081513,0.9201493947569737
Zm00001d039416,-0.09754373650473713,-0.44097736872495397,0.6603820022794774,0.8507800974155048,0.7986863861095665,0.9145824962885539
Zm00001d021360,0.09606544838602726,0.44102380446603967,0.6604329428009392,0.8507951063960698,0.929918462512644,0.9730576199501687
Zm00001d010023,0.06984872583820723,0.4408889633784849,0.660633879848091,0.8509120545863567,0.2872544808583313,0.5880325702879851
Zm00001d018604,0.16015988007065385,0.440596693623979,0.6606584605943312,0.8509120545863567,0.4627287476232854,0.7296241390107495
Zm00001d041322,-0.04325456965978347,-0.4406679088424032,0.6606742572191153,0.8509120545863567,0.6922795686000622,0.8606890841399637
Zm00001d013667,-0.050845949745784935,-0.4405549685920923,0.6606809076272474,0.8509120545863567,0.8742161800852433,0.9484581974831333
Zm00001d043022,-0.09635776773752358,-0.4412412113523841,0.660749304920067,0.8509495330521667,0.3034867807545636,0.6030191549329528
Zm00001d031730,-0.10243998131718135,-0.44052047580378895,0.6608177575400954,0.8509870783094396,0.3421975239742411,0.6365385434359777
Zm00001d033877,0.11068898789916348,0.4402500963553966,0.6610187440783439,0.8511569129198376,0.8259735197244247,0.9264286023056404
Zm00001d017920,0.09847058723758728,0.4402573363978532,0.6610494359574862,0.8511569129198376,0.7515389916271291,0.8919608289774653
Zm00001d007274,0.11924444768646048,0.44005788863435824,0.6610675607964269,0.8511569129198376,0.5916273414565515,0.8100087539137688
Zm00001d043789,0.1569909480656464,0.4397426968240019,0.6612835368314074,0.8513556841819407,0.8088921943032832,0.9201493947569737
Zm00001d010530,-0.0996343249529974,-0.43993826151985815,0.661300573009155,0.8513556841819407,0.7184101195358701,0.8751872139763561
Zm00001d053658,-0.10054562072380246,-0.439728763902823,0.6613425890981943,0.8513591596416562,0.9369111799870264,0.9756131133175798
Zm00001d023218,-0.09244442047972345,-0.43979407814857646,0.6614265631844634,0.8514166448220407,0.9859663450554824,0.9923824131185004
Zm00001d028473,0.08115430244843158,0.43933682628570503,0.6615689073514652,0.8515492551737875,0.8950466688466316,0.9574342027962734
Zm00001d031133,0.11319156735738423,0.43903218975386576,0.6617796484889176,0.8515946030752783,0.5916273414565515,0.8100087539137688
Zm00001d013887,0.10229116279528183,0.4390552357442866,0.6617861966195127,0.8515946030752783,0.7118451091066671,0.8709624812179777
